time_local,16006,16007,16008,16010,16011,16013,16014,16015,16016,16017,16018,16019,16020,16022,16025,16026,16028,16029,16030,16032,16034,16035,16036,16037,16038,16039,16040,16042,16043,16044,16045,16047,16052,16053,16054,16055,16057,16058,16059,16060,16061,16062,16063,16064,16065,16066,16067,16068,16069,16070,16071,16073,16074,16075,16086,16088,16090,16093,16094,16095,16096,1720,2420,2700,2710,2790,2800,5600,7050
2016-08-26 06:00:00,0.0,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,12.192,5.08,8.128,9.144,0.0,1.778,5.08,6.096,1.016,1.016,2.032,2.032,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048,0.0,0.0,0.0,0.0,9.144,0.0,0.0,3.048,4.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.176,1.016,0.0,9.144,0.0,0.0
2016-08-26 07:00:00,2.032,15.24,2.032,2.794,1.016,3.048,10.16,2.032,7.112,7.112,7.112,7.112,13.208,8.128,12.192,14.224,6.096,1.016,7.112,4.064,5.08,9.144,8.128,10.16,5.334,4.064,7.112,4.064,4.064,3.048,3.048,9.144,4.064,1.016,3.048,19.304,21.336,9.144,10.16,16.256,18.288,9.144,13.208,5.08,4.064,23.368,16.256,19.304,13.208,2.032,0.0,15.24,0.0,16.256,14.224,12.192,1.016,2.032,2.032,2.032,1.016,3.048,2.032,13.208,4.064,4.064,6.096,3.048,9.144
2016-08-26 08:00:00,1.016,2.032,5.08,2.54,3.048,2.032,3.048,1.016,1.016,1.016,3.048,3.048,4.064,6.096,3.048,6.096,0.0,5.08,8.128,4.064,20.32,14.224,16.256,6.096,8.636,9.144,23.368,9.144,7.112,11.176,9.144,21.336,1.016,0.0,1.016,1.016,3.048,2.032,1.016,1.016,3.048,1.016,3.048,1.016,3.048,6.096,6.096,7.112,1.016,21.336,1.016,13.208,24.384,5.08,5.08,5.08,1.016,1.016,1.016,3.048,2.032,3.048,2.032,10.16,3.048,3.048,8.128,1.016,2.032
2016-08-26 09:00:00,7.112,39.624,18.288,9.652,14.224,13.208,27.432,18.288,15.24,15.24,41.656,18.288,22.352,22.352,21.336,24.384,15.24,17.272,25.4,50.8,6.096,4.064,7.112,21.336,19.05,21.336,6.096,21.336,22.352,16.256,14.224,14.224,2.032,3.048,3.048,16.256,12.192,3.048,4.064,3.048,9.144,6.096,3.048,4.064,4.064,15.24,31.496,28.448,21.336,6.096,0.0,26.416,3.048,5.08,26.416,24.384,4.064,5.08,5.08,11.176,9.144,18.288,8.128,13.208,16.256,9.144,11.176,5.08,2.032
2016-08-26 10:00:00,6.096,12.192,11.176,6.858,9.144,5.08,14.224,5.08,5.08,5.08,11.176,9.144,12.192,6.096,9.144,7.112,8.128,9.144,5.08,10.16,8.128,9.144,3.048,5.08,2.794,2.032,12.192,10.16,8.128,11.176,10.16,5.08,3.048,5.08,2.032,5.08,3.048,3.048,3.048,3.048,2.032,4.064,3.048,4.064,4.064,4.064,10.16,5.08,4.064,3.048,1.016,4.064,3.048,3.048,8.128,2.032,3.048,5.08,7.112,8.128,5.08,9.144,13.208,11.176,13.208,8.128,12.192,5.08,3.048
2016-08-26 11:00:00,0.0,0.0,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.0,0.0,1.016,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,1.016,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,1.016,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0
2016-08-26 12:00:00,0.0,0.0,0.0,0.254,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0
2016-08-26 13:00:00,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,6.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048,0.0,0.0
2016-08-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0.0,0.0
2016-08-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,0.0,6.096,0.0,27.432,0.0,0.0,0.0,0.0,14.224,2.032,0.0,35.56,6.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.256
2016-08-27 02:00:00,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.88,31.496,55.88,32.512,10.16,32.512,14.224,26.416,16.256,45.72,27.432,39.624,8.128,5.08,1.016,19.304,2.032,30.48,2.032,12.192,2.032,23.368,11.176,0.0,54.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.512
2016-08-27 03:00:00,69.088,1.016,0.0,10.668,12.192,12.192,3.048,11.176,27.432,48.768,0.0,0.0,0.0,0.0,0.0,0.0,49.784,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.624,61.976,25.4,17.272,11.176,1.016,13.208,5.08,6.096,36.576,0.0,32.512,0.0,9.144,15.24,7.112,11.176,2.032,1.016,14.224,0.0,1.016,7.112,0.0,45.72,69.088,73.152,36.576,53.848,0.0,0.0,0.0,0.0,8.128,0.0,60.96,0.0
2016-08-27 04:00:00,5.08,2.032,1.016,0.508,0.0,0.0,2.032,0.0,2.032,0.0,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.224,9.144,15.24,6.096,13.208,7.112,14.224,13.208,18.288,9.144,5.08,12.192,1.016,10.16,2.032,2.032,2.032,4.064,1.016,1.016,6.096,8.128,1.016,0.0,12.192,7.112,8.128,1.016,4.064,0.0,0.0,0.0,0.0,6.096,0.0,7.112,0.0
2016-08-27 05:00:00,15.24,7.112,1.016,8.636,7.112,13.208,8.128,13.208,8.128,8.128,4.064,3.048,4.064,1.016,3.048,4.064,8.128,4.064,6.096,2.032,1.016,2.032,1.016,3.048,4.572,4.064,4.064,7.112,8.128,6.096,4.064,1.016,32.512,22.352,29.464,20.32,21.336,9.144,21.336,22.352,18.288,34.544,3.048,43.688,1.016,13.208,8.128,22.352,11.176,5.08,1.016,20.32,10.16,2.032,7.112,0.0,26.416,13.208,11.176,14.224,13.208,2.032,0.0,0.0,0.0,7.112,3.048,9.144,1.016
2016-08-27 06:00:00,5.08,0.0,9.144,2.54,2.032,0.0,1.016,3.048,3.048,4.064,0.0,10.16,3.048,2.032,0.0,2.032,3.048,5.08,1.016,0.0,0.0,0.0,0.0,1.016,0.254,0.0,0.0,3.048,8.128,3.048,3.048,0.0,1.016,3.048,1.016,0.0,2.032,3.048,1.016,0.0,2.032,1.016,2.032,2.032,3.048,2.032,0.0,0.0,1.016,11.176,1.016,0.0,7.112,5.08,0.0,0.0,3.048,5.08,6.096,3.048,5.08,18.288,19.304,23.368,36.576,19.304,0.0,6.096,1.016
2016-08-27 07:00:00,0.0,0.0,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,0.0,0.0,0.0,1.016,3.048,0.0,5.08,0.0,0.0,0.0,0.0,0.0,1.016,1.016,4.064,2.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016
2016-08-27 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,1.016
2016-08-27 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
