station,start_local,end_local,n_hours_total,n_hours_present,n_hours_missing,n_nonzero_hours,per_station_csv
1010,2012-01-01 13:00:00-0600,2023-12-29 23:00:00-0600,105131,11600,93531,3201,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/1010.hourly_mm.csv
16005,2012-01-01 12:00:00-0600,2025-08-08 06:00:00-0500,119226,12950,106276,4063,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16005.hourly_mm.csv
16006,2012-01-01 09:00:00-0600,2025-08-08 01:00:00-0500,119224,13535,105689,4104,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16006.hourly_mm.csv
16007,2012-01-01 15:00:00-0600,2025-08-07 21:00:00-0500,119214,13353,105861,4155,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16007.hourly_mm.csv
16008,2012-01-01 16:00:00-0600,2025-08-08 02:00:00-0500,119218,13446,105772,3998,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16008.hourly_mm.csv
16010,2014-08-05 07:00:00-0500,2025-08-08 02:00:00-0500,96500,12639,83861,5193,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16010.hourly_mm.csv
16011,2013-09-20 10:00:00-0500,2025-08-08 02:00:00-0500,104153,12038,92115,3746,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16011.hourly_mm.csv
16013,2012-01-01 14:00:00-0600,2025-08-08 05:00:00-0500,119223,13483,105740,4060,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16013.hourly_mm.csv
16014,2014-10-02 05:00:00-0500,2025-08-08 01:00:00-0500,95109,10537,84572,3197,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16014.hourly_mm.csv
16015,2012-01-01 16:00:00-0600,2025-08-08 02:00:00-0500,119218,13281,105937,3812,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16015.hourly_mm.csv
16016,2012-09-11 10:00:00-0500,2025-08-08 02:00:00-0500,113129,12985,100144,3993,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16016.hourly_mm.csv
16017,2013-02-06 18:00:00-0600,2025-08-08 02:00:00-0500,109568,12450,97118,3830,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16017.hourly_mm.csv
16018,2012-01-01 20:00:00-0600,2025-08-07 18:00:00-0500,119206,13410,105796,3891,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16018.hourly_mm.csv
16019,2012-01-01 08:00:00-0600,2023-12-30 20:00:00-0600,105157,11952,93205,3679,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16019.hourly_mm.csv
16020,2012-01-01 23:00:00-0600,2023-12-31 03:00:00-0600,105149,11939,93210,3867,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16020.hourly_mm.csv
16021,2012-01-01 13:00:00-0600,2023-12-31 07:00:00-0600,105163,16676,88487,3608,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16021.hourly_mm.csv
16022,2012-01-01 16:00:00-0600,2023-12-31 02:00:00-0600,105155,16258,88897,3606,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16022.hourly_mm.csv
16023,2012-01-01 19:00:00-0600,2023-12-31 04:00:00-0600,105154,11937,93217,3600,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16023.hourly_mm.csv
16024,2012-01-01 17:00:00-0600,2023-08-15 21:00:00-0500,101860,11477,90383,3457,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16024.hourly_mm.csv
16025,2012-01-01 14:00:00-0600,2023-12-31 06:00:00-0600,105161,11424,93737,3363,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16025.hourly_mm.csv
16026,2012-01-01 16:00:00-0600,2023-11-27 21:00:00-0600,104358,11998,92360,3784,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16026.hourly_mm.csv
16027,2012-01-01 19:00:00-0600,2023-12-31 03:00:00-0600,105153,11818,93335,3425,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16027.hourly_mm.csv
16028,2012-01-01 09:00:00-0600,2025-08-07 20:00:00-0500,119219,13287,105932,3919,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16028.hourly_mm.csv
16029,2013-01-01 15:00:00-0600,2025-08-07 19:00:00-0500,110428,12525,97903,3858,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16029.hourly_mm.csv
16030,2012-01-01 15:00:00-0600,2025-08-08 04:00:00-0500,119221,13592,105629,4127,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16030.hourly_mm.csv
16031,2012-01-01 18:00:00-0600,2023-12-31 04:00:00-0600,105155,11795,93360,3439,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16031.hourly_mm.csv
16032,2012-01-01 19:00:00-0600,2023-12-31 05:00:00-0600,105155,11770,93385,3425,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16032.hourly_mm.csv
16033,2012-01-01 17:00:00-0600,2023-12-31 04:00:00-0600,105156,11240,93916,3341,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16033.hourly_mm.csv
16034,2012-01-01 18:00:00-0600,2023-12-30 20:00:00-0600,105147,11806,93341,3575,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16034.hourly_mm.csv
16035,2012-01-01 09:00:00-0600,2025-08-08 02:00:00-0500,119225,13393,105832,3955,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16035.hourly_mm.csv
16036,2012-01-01 16:00:00-0600,2023-12-31 01:00:00-0600,105154,11964,93190,3715,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16036.hourly_mm.csv
16037,2012-01-01 14:00:00-0600,2025-08-08 05:00:00-0500,119223,13180,106043,3873,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16037.hourly_mm.csv
16038,2014-07-25 05:00:00-0500,2025-08-08 02:00:00-0500,96766,11068,85698,4075,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16038.hourly_mm.csv
16039,2012-01-01 17:00:00-0600,2025-08-08 06:00:00-0500,119221,13412,105809,3903,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16039.hourly_mm.csv
16040,2012-01-01 13:00:00-0600,2025-08-08 02:00:00-0500,119221,23134,96087,4109,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16040.hourly_mm.csv
16042,2012-01-01 17:00:00-0600,2025-08-08 04:00:00-0500,119219,13478,105741,4059,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16042.hourly_mm.csv
16043,2012-01-01 16:00:00-0600,2025-08-08 02:00:00-0500,119218,13533,105685,4037,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16043.hourly_mm.csv
16044,2012-01-01 13:00:00-0600,2025-08-08 05:00:00-0500,119224,13815,105409,3986,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16044.hourly_mm.csv
16045,2012-01-01 14:00:00-0600,2025-08-08 05:00:00-0500,119223,13383,105840,4015,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16045.hourly_mm.csv
16046,2012-01-01 19:00:00-0600,2023-12-31 03:00:00-0600,105153,11153,94000,3405,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16046.hourly_mm.csv
16047,2012-01-01 16:00:00-0600,2023-12-31 04:00:00-0600,105157,11875,93282,3614,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16047.hourly_mm.csv
16048,2012-01-01 18:00:00-0600,2025-08-08 02:00:00-0500,119216,13463,105753,4082,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16048.hourly_mm.csv
16049,2012-01-01 17:00:00-0600,2025-08-08 02:00:00-0500,119217,29953,89264,4014,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16049.hourly_mm.csv
16050,2012-01-01 15:00:00-0600,2023-12-31 02:00:00-0600,105156,9750,95406,2994,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16050.hourly_mm.csv
16051,2012-01-01 14:00:00-0600,2023-12-31 03:00:00-0600,105158,11455,93703,3286,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16051.hourly_mm.csv
16052,2012-01-01 14:00:00-0600,2023-12-31 07:00:00-0600,105162,11707,93455,3550,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16052.hourly_mm.csv
16053,2012-01-02 09:00:00-0600,2023-11-25 17:00:00-0600,104289,10910,93379,3444,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16053.hourly_mm.csv
16054,2012-01-01 12:00:00-0600,2023-12-30 20:00:00-0600,105153,11881,93272,3570,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16054.hourly_mm.csv
16055,2014-05-27 08:00:00-0500,2025-08-07 19:00:00-0500,98172,11105,87067,3369,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16055.hourly_mm.csv
16057,2012-01-01 11:00:00-0600,2025-08-08 02:00:00-0500,119223,22608,96615,4199,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16057.hourly_mm.csv
16058,2012-01-01 12:00:00-0600,2025-08-08 02:00:00-0500,119222,13307,105915,3828,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16058.hourly_mm.csv
16059,2012-01-01 14:00:00-0600,2025-08-07 20:00:00-0500,119214,12760,106454,3699,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16059.hourly_mm.csv
16060,2015-11-23 22:00:00-0600,2025-08-07 20:00:00-0500,85078,9315,75763,2836,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16060.hourly_mm.csv
16061,2012-01-01 11:00:00-0600,2025-08-07 20:00:00-0500,119217,13224,105993,3966,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16061.hourly_mm.csv
16062,2012-01-01 17:00:00-0600,2025-08-08 02:00:00-0500,119217,13589,105628,4094,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16062.hourly_mm.csv
16063,2012-01-01 12:00:00-0600,2025-08-07 21:00:00-0500,119217,13227,105990,3973,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16063.hourly_mm.csv
16064,2012-01-01 18:00:00-0600,2025-08-08 02:00:00-0500,119216,13765,105451,4252,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16064.hourly_mm.csv
16065,2012-01-01 16:00:00-0600,2025-08-08 05:00:00-0500,119221,13299,105922,3801,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16065.hourly_mm.csv
16066,2012-01-01 17:00:00-0600,2025-08-07 19:00:00-0500,119210,13493,105717,3984,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16066.hourly_mm.csv
16067,2012-01-01 18:00:00-0600,2025-08-08 06:00:00-0500,119220,13380,105840,3910,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16067.hourly_mm.csv
16068,2012-01-01 16:00:00-0600,2025-08-08 06:00:00-0500,119222,12977,106245,3942,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16068.hourly_mm.csv
16069,2012-01-01 19:00:00-0600,2025-08-07 19:00:00-0500,119208,13069,106139,4009,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16069.hourly_mm.csv
16070,2012-01-01 16:00:00-0600,2025-08-08 02:00:00-0500,119218,13020,106198,3780,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16070.hourly_mm.csv
16071,2012-01-01 14:00:00-0600,2025-08-08 02:00:00-0500,119220,13562,105658,4063,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16071.hourly_mm.csv
16072,2012-01-01 19:00:00-0600,2025-08-08 02:00:00-0500,119215,20489,98726,4286,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16072.hourly_mm.csv
16073,2012-01-01 18:00:00-0600,2025-08-07 18:00:00-0500,119208,13757,105451,4320,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16073.hourly_mm.csv
16074,2012-01-01 13:00:00-0600,2025-08-07 19:00:00-0500,119214,13241,105973,3802,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16074.hourly_mm.csv
16075,2012-01-01 17:00:00-0600,2025-08-07 21:00:00-0500,119212,13511,105701,4098,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16075.hourly_mm.csv
16076,2012-01-01 16:00:00-0600,2025-08-08 06:00:00-0500,119222,13471,105751,4145,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16076.hourly_mm.csv
16077,2012-01-01 16:00:00-0600,2025-08-08 02:00:00-0500,119218,13499,105719,4132,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16077.hourly_mm.csv
16078,2012-01-01 15:00:00-0600,2025-08-08 02:00:00-0500,119219,13259,105960,4042,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16078.hourly_mm.csv
16079,2012-01-01 15:00:00-0600,2025-08-07 20:00:00-0500,119213,13135,106078,3703,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16079.hourly_mm.csv
16080,2012-01-01 17:00:00-0600,2025-08-08 05:00:00-0500,119220,13122,106098,3979,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16080.hourly_mm.csv
16081,2012-01-01 14:00:00-0600,2025-08-04 05:00:00-0500,119127,12929,106198,4166,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16081.hourly_mm.csv
16082,2012-01-01 08:00:00-0600,2025-08-07 22:00:00-0500,119222,13645,105577,4245,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16082.hourly_mm.csv
16083,2012-06-06 05:00:00-0500,2025-08-08 06:00:00-0500,115466,12902,102564,3826,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16083.hourly_mm.csv
16084,2012-01-01 17:00:00-0600,2025-08-08 04:00:00-0500,119219,17500,101719,3191,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16084.hourly_mm.csv
16085,2012-01-01 17:00:00-0600,2025-08-08 05:00:00-0500,119220,13350,105870,4048,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16085.hourly_mm.csv
16086,2012-01-01 09:00:00-0600,2025-08-08 06:00:00-0500,119229,13064,106165,3806,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16086.hourly_mm.csv
16087,2014-10-03 09:00:00-0500,2025-08-08 04:00:00-0500,95084,9824,85260,2912,/mnt/12TB/Sujan/Spatial_correlation/Codes/Compiled_rain/compiled_rawstyle_hourly_mm/per_station_hourly/16087.hourly_mm.csv
