id,left,top,right,bottom,row_index,col_index,geometry,UTM_Easting,UTM_Northing
12391609,-94.6,38.92,-94.58999999999999,38.910000000000004,1608,3540,POINT (361717.2495313643 4308553.353478568),361717.2495313643,4308553.353478568
12391608,-94.6,38.93,-94.58999999999999,38.92,1607,3540,POINT (361736.66342551564 4309663.1405418655),361736.66342551564,4309663.1405418655
12391607,-94.6,38.94,-94.58999999999999,38.93,1606,3540,POINT (361756.0815463765 4310772.929364259),361756.0815463765,4310772.929364259
12367103,-94.67,38.980000000000004,-94.66,38.970000000000006,1602,3533,POINT (355769.7231161192 4315320.641097296),355769.7231161192,4315320.641097296
12367102,-94.67,38.989999999999995,-94.66,38.98,1601,3533,POINT (355790.0161174202 4316430.446845338),355790.0161174202,4316430.446845338
12290104,-94.89,38.97,-94.88,38.96,1603,3511,POINT (336687.9312503892 4314582.30175971),336687.9312503892,4314582.30175971
12290103,-94.89,38.980000000000004,-94.88,38.970000000000006,1602,3511,POINT (336710.90303001454 4315692.133616401),336710.90303001454,4315692.133616401
12290102,-94.89,38.989999999999995,-94.88,38.98,1601,3511,POINT (336733.8798008943 4316801.967174422),336733.8798008943,4316801.967174422
12290101,-94.89,39.0,-94.88,38.99,1600,3511,POINT (336756.8615623466 4317911.802433914),336756.8615623466,4317911.802433914
12290100,-94.89,39.01,-94.88,39.0,1599,3511,POINT (336779.84831368923 4319021.639395),336779.84831368923,4319021.639395
12290099,-94.89,39.019999999999996,-94.88,39.01,1598,3511,POINT (336802.84005423996 4320131.478057818),336802.84005423996,4320131.478057818
12342625,-94.74000000000001,38.76,-94.73,38.75,1624,3526,POINT (349241.5376093548 4291018.369896524),349241.5376093548,4291018.369896524
12342624,-94.74000000000001,38.769999999999996,-94.73,38.76,1623,3526,POINT (349262.5832262164 4292128.1460307585),349262.5832262164,4292128.1460307585
12367114,-94.67,38.870000000000005,-94.66,38.86000000000001,1613,3533,POINT (355546.79123422946 4303112.8931122385),355546.79123422946,4303112.8931122385
12367113,-94.67,38.879999999999995,-94.66,38.87,1612,3533,POINT (355567.03570243897 4304222.679655542),355567.03570243897,4304222.679655542
12367112,-94.67,38.89,-94.66,38.88,1611,3533,POINT (355587.28458575247 4305332.46794405),355587.28458575247,4305332.46794405
12367111,-94.67,38.9,-94.66,38.89,1610,3533,POINT (355607.53788356937 4306442.257977897),355607.53788356937,4306442.257977897
12367110,-94.67,38.91,-94.66,38.9,1609,3533,POINT (355627.7955952891 4307552.049757223),355627.7955952891,4307552.049757223
12367109,-94.67,38.92,-94.66,38.910000000000004,1608,3533,POINT (355648.05772031075 4308661.8432821585),355648.05772031075,4308661.8432821585
12367108,-94.67,38.93,-94.66,38.92,1607,3533,POINT (355668.3242580334 4309771.638552845),355668.3242580334,4309771.638552845
12367107,-94.67,38.94,-94.66,38.93,1606,3533,POINT (355688.59520785604 4310881.435569418),355688.59520785604,4310881.435569418
12367106,-94.67,38.95,-94.66,38.940000000000005,1605,3533,POINT (355708.8705691773 4311991.234332013),355708.8705691773,4311991.234332013
12367105,-94.67,38.96,-94.66,38.95,1604,3533,POINT (355729.150341396 4313101.034840768),355729.150341396,4313101.034840768
12367104,-94.67,38.97,-94.66,38.96,1603,3533,POINT (355749.4345239104 4314210.837095817),355749.4345239104,4314210.837095817
12342607,-94.74000000000001,38.94,-94.73,38.93,1606,3526,POINT (349621.06314789434 4310994.605102518),349621.06314789434,4310994.605102518
12342606,-94.74000000000001,38.95,-94.73,38.940000000000005,1605,3526,POINT (349642.191603812 4312104.412396291),349642.191603812,4312104.412396291
12342605,-94.74000000000001,38.96,-94.73,38.95,1604,3526,POINT (349663.32465595263 4313214.221422445),349663.32465595263,4313214.221422445
12342604,-94.74000000000001,38.97,-94.73,38.96,1603,3526,POINT (349684.4623036892 4314324.032181111),349684.4623036892,4314324.032181111
12342603,-94.74000000000001,38.980000000000004,-94.73,38.970000000000006,1602,3526,POINT (349705.6045463947 4315433.8446724275),349705.6045463947,4315433.8446724275
12342602,-94.74000000000001,38.989999999999995,-94.73,38.98,1601,3526,POINT (349726.75138344197 4316543.6588965235),349726.75138344197,4316543.6588965235
12367125,-94.67,38.76,-94.66,38.75,1624,3533,POINT (355324.3936523994 4290905.35627972),355324.3936523994,4290905.35627972
12342601,-94.74000000000001,39.0,-94.73,38.99,1600,3526,POINT (349747.90281420364 4317653.474853538),349747.90281420364,4317653.474853538
12367124,-94.67,38.769999999999996,-94.66,38.76,1623,3533,POINT (355344.58951486996 4292015.123634926),355344.58951486996,4292015.123634926
12342600,-94.74000000000001,39.01,-94.73,39.0,1599,3526,POINT (349769.058838052 4318763.292543603),349769.058838052,4318763.292543603
12367123,-94.67,38.78,-94.66,38.77,1622,3533,POINT (355364.7897990411 4293124.892733811),355364.7897990411,4293124.892733811
12342599,-94.74000000000001,39.019999999999996,-94.73,39.01,1598,3526,POINT (349790.2194543595 4319873.111966852),349790.2194543595,4319873.111966852
12367122,-94.67,38.79,-94.66,38.78,1621,3533,POINT (355384.9945043139 4294234.663576513),355384.9945043139,4294234.663576513
12367121,-94.67,38.8,-94.66,38.79,1620,3533,POINT (355405.2036300892 4295344.436163171),355405.2036300892,4295344.436163171
12367120,-94.67,38.81,-94.66,38.800000000000004,1619,3533,POINT (355425.41717576777 4296454.210493927),355425.41717576777,4296454.210493927
12342623,-94.74000000000001,38.78,-94.73,38.77,1622,3526,POINT (349283.63345056126 4293237.923894911),349283.63345056126,4293237.923894911
12342622,-94.74000000000001,38.79,-94.73,38.78,1621,3526,POINT (349304.688281765 4294347.703489117),349304.688281765,4294347.703489117
12342621,-94.74000000000001,38.8,-94.73,38.79,1620,3526,POINT (349325.7477192031 4295457.484813521),349325.7477192031,4295457.484813521
12342620,-94.74000000000001,38.81,-94.73,38.800000000000004,1619,3526,POINT (349346.8117622511 4296567.267868257),349346.8117622511,4296567.267868257
12342619,-94.74000000000001,38.82,-94.73,38.81,1618,3526,POINT (349367.88041028404 4297677.052653461),349367.88041028404,4297677.052653461
12342618,-94.74000000000001,38.83,-94.73,38.82,1617,3526,POINT (349388.953662677 4298786.839169273),349388.953662677,4298786.839169273
12342617,-94.74000000000001,38.84,-94.73,38.830000000000005,1616,3526,POINT (349410.0315188051 4299896.627415831),349410.0315188051,4299896.627415831
12342616,-94.74000000000001,38.85,-94.73,38.84,1615,3526,POINT (349431.1139780431 4301006.417393272),349431.1139780431,4301006.417393272
12342615,-94.74000000000001,38.86,-94.73,38.85,1614,3526,POINT (349452.2010397654 4302116.209101734),349452.2010397654,4302116.209101734
12342614,-94.74000000000001,38.870000000000005,-94.73,38.86000000000001,1613,3526,POINT (349473.2927033467 4303226.002541355),349473.2927033467,4303226.002541355
12342613,-94.74000000000001,38.879999999999995,-94.73,38.87,1612,3526,POINT (349494.3889681613 4304335.797712263),349494.3889681613,4304335.797712263
12342612,-94.74000000000001,38.89,-94.73,38.88,1611,3526,POINT (349515.4898335834 4305445.5946146045),349515.4898335834,4305445.5946146045
12342611,-94.74000000000001,38.9,-94.73,38.89,1610,3526,POINT (349536.5952989872 4306555.3932485115),349536.5952989872,4306555.3932485115
12342610,-94.74000000000001,38.91,-94.73,38.9,1609,3526,POINT (349557.70536374644 4307665.1936141215),349557.70536374644,4307665.1936141215
12342609,-94.74000000000001,38.92,-94.73,38.910000000000004,1608,3526,POINT (349578.82002723496 4308774.995711568),349578.82002723496,4308774.995711568
12342608,-94.74000000000001,38.93,-94.73,38.92,1607,3526,POINT (349599.9392888264 4309884.799540989),349599.9392888264,4309884.799540989
12307599,-94.84,39.019999999999996,-94.83,39.01,1598,3516,POINT (341131.99163118494 4320042.974845283),341131.99163118494,4320042.974845283
12307598,-94.84,39.03,-94.83,39.02,1597,3516,POINT (341154.3778086153 4321152.808631062),341154.3778086153,4321152.808631062
12307609,-94.84,38.92,-94.83,38.910000000000004,1608,3516,POINT (340908.3970630419 4308944.731160654),340908.3970630419,4308944.731160654
12307608,-94.84,38.93,-94.83,38.92,1607,3516,POINT (340930.7346475796 4310054.547826033),340930.7346475796,4310054.547826033
12307607,-94.84,38.94,-94.83,38.93,1606,3516,POINT (340953.07709439204 4311164.366202852),340953.07709439204,4311164.366202852
12307606,-94.84,38.95,-94.83,38.940000000000005,1605,3516,POINT (340975.4244028161 4312274.186291245),340975.4244028161,4312274.186291245
12307605,-94.84,38.96,-94.83,38.95,1604,3516,POINT (340997.7765721886 4313384.008091349),340997.7765721886,4313384.008091349
12307604,-94.84,38.97,-94.83,38.96,1603,3516,POINT (341020.13360184623 4314493.831603292),341020.13360184623,4314493.831603292
12307603,-94.84,38.980000000000004,-94.83,38.970000000000006,1602,3516,POINT (341042.4954911256 4315603.656827213),341042.4954911256,4315603.656827213
12307602,-94.84,38.989999999999995,-94.83,38.98,1601,3516,POINT (341064.862239363 4316713.483763237),341064.862239363,4316713.483763237
12307601,-94.84,39.0,-94.83,38.99,1600,3516,POINT (341087.2338458947 4317823.312411503),341087.2338458947,4317823.312411503
12307600,-94.84,39.01,-94.83,39.0,1599,3516,POINT (341109.61031005665 4318933.142772139),341109.61031005665,4318933.142772139
12356607,-94.69999999999999,38.94,-94.68999999999998,38.93,1606,3530,POINT (353088.23003528814 4310929.365752435),353088.23003528814,4310929.365752435
12356606,-94.69999999999999,38.95,-94.68999999999998,38.940000000000005,1605,3530,POINT (353108.87099855347 4312039.168128375),353108.87099855347,4312039.168128375
12356605,-94.69999999999999,38.96,-94.68999999999998,38.95,1604,3530,POINT (353129.5164521431 4313148.972244639),353129.5164521431,4313148.972244639
12356604,-94.69999999999999,38.97,-94.68999999999998,38.96,1603,3530,POINT (353150.16639544466 4314258.778101358),353150.16639544466,4314258.778101358
12356603,-94.69999999999999,38.980000000000004,-94.68999999999998,38.970000000000006,1602,3530,POINT (353170.8208278456 4315368.585698674),353170.8208278456,4315368.585698674
12381112,-94.63,38.89,-94.61999999999999,38.88,1611,3537,POINT (359056.8607547077 4305269.917109396),359056.8607547077,4305269.917109396
12381111,-94.63,38.9,-94.61999999999999,38.89,1610,3537,POINT (359076.62713590544 4306379.702387428),359076.62713590544,4306379.702387428
12381110,-94.63,38.91,-94.61999999999999,38.9,1609,3537,POINT (359096.39782502654 4307489.489418551),359096.39782502654,4307489.489418551
12381109,-94.63,38.92,-94.61999999999999,38.910000000000004,1608,3537,POINT (359116.172821485 4308599.278202903),359116.172821485,4308599.278202903
12381108,-94.63,38.93,-94.61999999999999,38.92,1607,3537,POINT (359135.9521246941 4309709.068740623),359135.9521246941,4309709.068740623
12381107,-94.63,38.94,-94.61999999999999,38.93,1606,3537,POINT (359155.7357340674 4310818.861031847),359155.7357340674,4310818.861031847
12381106,-94.63,38.95,-94.61999999999999,38.940000000000005,1605,3537,POINT (359175.5236490183 4311928.6550767105),359175.5236490183,4311928.6550767105
12381105,-94.63,38.96,-94.61999999999999,38.95,1604,3537,POINT (359195.3158689599 4313038.450875352),359195.3158689599,4313038.450875352
12381104,-94.63,38.97,-94.61999999999999,38.96,1603,3537,POINT (359215.1123933051 4314148.248427909),359215.1123933051,4314148.248427909
12356623,-94.69999999999999,38.78,-94.68999999999998,38.77,1622,3530,POINT (352758.58580632904 4293172.764309994),352758.58580632904,4293172.764309994
12356622,-94.69999999999999,38.79,-94.68999999999998,38.78,1621,3530,POINT (352779.15484123304 4294282.5388593525),352779.15484123304,4294282.5388593525
12356621,-94.69999999999999,38.8,-94.68999999999998,38.79,1620,3530,POINT (352799.7283762407 4295392.315146841),352799.7283762407,4295392.315146841
12356620,-94.69999999999999,38.81,-94.68999999999998,38.800000000000004,1619,3530,POINT (352820.3064107419 4296502.093172598),352820.3064107419,4296502.093172598
12356619,-94.69999999999999,38.82,-94.68999999999998,38.81,1618,3530,POINT (352840.8889441261 4297611.872936756),352840.8889441261,4297611.872936756
12356618,-94.69999999999999,38.83,-94.68999999999998,38.82,1617,3530,POINT (352861.4759757831 4298721.6544394605),352861.4759757831,4298721.6544394605
12356617,-94.69999999999999,38.84,-94.68999999999998,38.830000000000005,1616,3530,POINT (352882.0675051024 4299831.437680846),352882.0675051024,4299831.437680846
12356616,-94.69999999999999,38.85,-94.68999999999998,38.84,1615,3530,POINT (352902.66353147296 4300941.222661052),352902.66353147296,4300941.222661052
12356615,-94.69999999999999,38.86,-94.68999999999998,38.85,1614,3530,POINT (352923.2640542843 4302051.009380216),352923.2640542843,4302051.009380216
12356614,-94.69999999999999,38.870000000000005,-94.68999999999998,38.86000000000001,1613,3530,POINT (352943.86907292524 4303160.797838475),352943.86907292524,4303160.797838475
12356613,-94.69999999999999,38.879999999999995,-94.68999999999998,38.87,1612,3530,POINT (352964.47858678456 4304270.588035961),352964.47858678456,4304270.588035961
12356612,-94.69999999999999,38.89,-94.68999999999998,38.88,1611,3530,POINT (352985.0925952512 4305380.379972821),352985.0925952512,4305380.379972821
12356611,-94.69999999999999,38.9,-94.68999999999998,38.89,1610,3530,POINT (353005.7110977137 4306490.173649185),353005.7110977137,4306490.173649185
12356610,-94.69999999999999,38.91,-94.68999999999998,38.9,1609,3530,POINT (353026.33409356035 4307599.969065195),353026.33409356035,4307599.969065195
12356609,-94.69999999999999,38.92,-94.68999999999998,38.910000000000004,1608,3530,POINT (353046.9615821796 4308709.76622098),353046.9615821796,4308709.76622098
12356608,-94.69999999999999,38.93,-94.68999999999998,38.92,1607,3530,POINT (353067.5935629595 4309819.565116681),353067.5935629595,4309819.565116681
12332111,-94.77,38.9,-94.75999999999999,38.89,1610,3523,POINT (346934.74818990065 4306605.3070224),346934.74818990065,4306605.3070224
12332110,-94.77,38.91,-94.75999999999999,38.9,1609,3523,POINT (346956.22357424675 4307715.111175715),346956.22357424675,4307715.111175715
12332109,-94.77,38.92,-94.75999999999999,38.910000000000004,1608,3523,POINT (346977.70363678655 4308824.917054788),346977.70363678655,4308824.917054788
12332108,-94.77,38.93,-94.75999999999999,38.92,1607,3523,POINT (346999.1883768829 4309934.724659757),346999.1883768829,4309934.724659757
12332107,-94.77,38.94,-94.75999999999999,38.93,1606,3523,POINT (347020.6777938984 4311044.533990758),347020.6777938984,4311044.533990758
12332106,-94.77,38.95,-94.75999999999999,38.940000000000005,1605,3523,POINT (347042.17188719526 4312154.345047922),347042.17188719526,4312154.345047922
12332105,-94.77,38.96,-94.75999999999999,38.95,1604,3523,POINT (347063.670656136 4313264.157831386),347063.670656136,4313264.157831386
12332104,-94.77,38.97,-94.75999999999999,38.96,1603,3523,POINT (347085.1741000827 4314373.972341284),347085.1741000827,4314373.972341284
12356627,-94.69999999999999,38.739999999999995,-94.68999999999998,38.73,1626,3530,POINT (352676.35467994696 4288733.68349105),352676.35467994696,4288733.68349105
12332103,-94.77,38.980000000000004,-94.75999999999999,38.970000000000006,1602,3523,POINT (347106.68221839744 4315483.788577751),347106.68221839744,4315483.788577751
12356626,-94.69999999999999,38.75,-94.68999999999998,38.74,1625,3530,POINT (352696.9057083379 4289843.451089291),352696.9057083379,4289843.451089291
12332102,-94.77,38.989999999999995,-94.75999999999999,38.98,1601,3523,POINT (347128.1950104418 4316593.606540917),347128.1950104418,4316593.606540917
12356625,-94.69999999999999,38.76,-94.68999999999998,38.75,1624,3530,POINT (352717.4612392717 4290953.220425099),352717.4612392717,4290953.220425099
12332101,-94.77,39.0,-94.75999999999999,38.99,1600,3523,POINT (347149.7124755779 4317703.426230922),347149.7124755779,4317703.426230922
12356624,-94.69999999999999,38.769999999999996,-94.68999999999998,38.76,1623,3530,POINT (352738.02127213863 4292062.991498621),352738.02127213863,4292062.991498621
12332100,-94.77,39.01,-94.75999999999999,39.0,1599,3523,POINT (347171.2346131669 4318813.247647894),347171.2346131669,4318813.247647894
12332099,-94.77,39.019999999999996,-94.75999999999999,39.01,1598,3523,POINT (347192.7614225705 4319923.070791969),347192.7614225705,4319923.070791969
12332124,-94.77,38.769999999999996,-94.75999999999999,38.76,1623,3523,POINT (346655.99419872207 4292178.010011646),346655.99419872207,4292178.010011646
12332123,-94.77,38.78,-94.75999999999999,38.77,1622,3523,POINT (346677.408708625 4293287.791742468),346677.408708625,4293287.791742468
12332122,-94.77,38.79,-94.75999999999999,38.78,1621,3523,POINT (346698.8279049926 4294397.575197274),346698.8279049926,4294397.575197274
12332121,-94.77,38.8,-94.75999999999999,38.79,1620,3523,POINT (346720.25178718986 4295507.360376203),346720.25178718986,4295507.360376203
12332120,-94.77,38.81,-94.75999999999999,38.800000000000004,1619,3523,POINT (346741.68035458116 4296617.147279393),346741.68035458116,4296617.147279393
12332119,-94.77,38.82,-94.75999999999999,38.81,1618,3523,POINT (346763.11360653065 4297726.935906977),346763.11360653065,4297726.935906977
12332118,-94.77,38.83,-94.75999999999999,38.82,1617,3523,POINT (346784.5515424027 4298836.726259098),346784.5515424027,4298836.726259098
12332117,-94.77,38.84,-94.75999999999999,38.830000000000005,1616,3523,POINT (346805.99416156136 4299946.518335891),346805.99416156136,4299946.518335891
12332116,-94.77,38.85,-94.75999999999999,38.84,1615,3523,POINT (346827.4414633706 4301056.312137492),346827.4414633706,4301056.312137492
12332115,-94.77,38.86,-94.75999999999999,38.85,1614,3523,POINT (346848.893447194 4302166.107664039),346848.893447194,4302166.107664039
12332114,-94.77,38.870000000000005,-94.75999999999999,38.86000000000001,1613,3523,POINT (346870.3501123954 4303275.90491567),346870.3501123954,4303275.90491567
12332113,-94.77,38.879999999999995,-94.75999999999999,38.87,1612,3523,POINT (346891.81145833805 4304385.703892511),346891.81145833805,4304385.703892511
12332112,-94.77,38.89,-94.75999999999999,38.88,1611,3523,POINT (346913.2774843854 4305495.504594712),346913.2774843854,4305495.504594712
12297103,-94.87,38.980000000000004,-94.86,38.970000000000006,1602,3513,POINT (338443.54312117933 4315656.45722552),338443.54312117933,4315656.45722552
12297102,-94.87,38.989999999999995,-94.86,38.98,1601,3513,POINT (338466.2758775104 4316766.2881134655),338466.2758775104,4316766.2881134655
12297101,-94.87,39.0,-94.86,38.99,1600,3513,POINT (338489.01357150363 4317876.120707225),338489.01357150363,4317876.120707225
12297100,-94.87,39.01,-94.86,39.0,1599,3513,POINT (338511.7562024842 4318985.955006924),338511.7562024842,4318985.955006924
12297099,-94.87,39.019999999999996,-94.86,39.01,1598,3513,POINT (338534.5037697771 4320095.7910127),338534.5037697771,4320095.7910127
12297098,-94.87,39.03,-94.86,39.02,1597,3513,POINT (338557.25627270713 4321205.628724679),338557.25627270713,4321205.628724679
12297105,-94.87,38.96,-94.86,38.95,1604,3513,POINT (338398.09242420236 4313436.800566526),338398.09242420236,4313436.800566526
12297104,-94.87,38.97,-94.86,38.96,1603,3513,POINT (338420.81530318514 4314546.628043249),338420.81530318514,4314546.628043249
12370607,-94.66,38.94,-94.64999999999999,38.93,1606,3534,POINT (356555.3817250796 4310865.649183314),356555.3817250796,4310865.649183314
12370606,-94.66,38.95,-94.64999999999999,38.940000000000005,1605,3534,POINT (356575.53522237565 4311975.446755755),356575.53522237565,4311975.446755755
12370605,-94.66,38.96,-94.64999999999999,38.95,1604,3534,POINT (356595.69310409285 4313085.2460762765),356595.69310409285,4313085.2460762765
12370604,-94.66,38.97,-94.64999999999999,38.96,1603,3534,POINT (356615.8553696333 4314195.047145016),356615.8553696333,4314195.047145016
12370603,-94.66,38.980000000000004,-94.64999999999999,38.970000000000006,1602,3534,POINT (356636.022018399 4315304.849962108),356636.022018399,4315304.849962108
12370602,-94.66,38.989999999999995,-94.64999999999999,38.98,1601,3534,POINT (356656.1930497916 4316414.654527684),356656.1930497916,4316414.654527684
12370621,-94.66,38.8,-94.64999999999999,38.79,1620,3534,POINT (356273.6934616279 4295328.66664097),356273.6934616279,4295328.66664097
12370613,-94.66,38.879999999999995,-94.64999999999999,38.87,1612,3534,POINT (356434.55284760933 4304206.90045072),356434.55284760933,4304206.90045072
12370612,-94.66,38.89,-94.64999999999999,38.88,1611,3534,POINT (356454.6800258314 4305316.687537545),356454.6800258314,4305316.687537545
12370611,-94.66,38.9,-94.64999999999999,38.89,1610,3534,POINT (356474.8115920588 4306426.476371629),356474.8115920588,4306426.476371629
12370610,-94.66,38.91,-94.64999999999999,38.9,1609,3534,POINT (356494.9475456946 4307536.2669531135),356494.9475456946,4307536.2669531135
12370609,-94.66,38.92,-94.64999999999999,38.910000000000004,1608,3534,POINT (356515.0878861415 4308646.05928213),356515.0878861415,4308646.05928213
12370608,-94.66,38.93,-94.64999999999999,38.92,1607,3534,POINT (356535.23261280236 4309755.853358818),356535.23261280236,4309755.853358818
12346111,-94.72999999999999,38.9,-94.71999999999998,38.89,1610,3527,POINT (350403.8757031434 4306538.945626429),350403.8757031434,4306538.945626429
12346110,-94.72999999999999,38.91,-94.71999999999998,38.9,1609,3527,POINT (350424.8639981368 4307648.744743852),350424.8639981368,4307648.744743852
12346109,-94.72999999999999,38.92,-94.71999999999998,38.910000000000004,1608,3527,POINT (350445.85686537065 4308758.545595114),350445.85686537065,4308758.545595114
12346108,-94.72999999999999,38.93,-94.71999999999998,38.92,1607,3527,POINT (350466.8543042223 4309868.348180352),350466.8543042223,4309868.348180352
12346107,-94.72999999999999,38.94,-94.71999999999998,38.93,1606,3527,POINT (350487.856314069 4310978.152499703),350487.856314069,4310978.152499703
12346106,-94.72999999999999,38.95,-94.71999999999998,38.940000000000005,1605,3527,POINT (350508.86289428745 4312087.9585533),350508.86289428745,4312087.9585533
12346105,-94.72999999999999,38.96,-94.71999999999998,38.95,1604,3527,POINT (350529.8740442548 4313197.766341281),350529.8740442548,4313197.766341281
12346104,-94.72999999999999,38.97,-94.71999999999998,38.96,1603,3527,POINT (350550.8897633475 4314307.575863778),350550.8897633475,4314307.575863778
12346103,-94.72999999999999,38.980000000000004,-94.71999999999998,38.970000000000006,1602,3527,POINT (350571.9100509422 4315417.38712093),350571.9100509422,4315417.38712093
12346102,-94.72999999999999,38.989999999999995,-94.71999999999998,38.98,1601,3527,POINT (350592.9349064153 4316527.2001128625),350592.9349064153,4316527.2001128625
12346101,-94.72999999999999,39.0,-94.71999999999998,38.99,1600,3527,POINT (350613.96432914305 4317637.014839721),350613.96432914305,4317637.014839721
12346100,-94.72999999999999,39.01,-94.71999999999998,39.0,1599,3527,POINT (350634.99831850163 4318746.8313016305),350634.99831850163,4318746.8313016305
12346099,-94.72999999999999,39.019999999999996,-94.71999999999998,39.01,1598,3527,POINT (350656.0368738669 4319856.649498732),350656.0368738669,4319856.649498732
12321615,-94.8,38.86,-94.78999999999999,38.85,1614,3520,POINT (344245.5768290027 4302216.862356308),344245.5768290027,4302216.862356308
12321614,-94.8,38.870000000000005,-94.78999999999999,38.86000000000001,1613,3520,POINT (344267.39851147553 4303326.66348507),344267.39851147553,4303326.66348507
12321613,-94.8,38.879999999999995,-94.78999999999999,38.87,1612,3520,POINT (344289.22495419485 4304436.466332863),344289.22495419485,4304436.466332863
12321612,-94.8,38.89,-94.78999999999999,38.88,1611,3520,POINT (344311.0561565135 4305546.270899833),344311.0561565135,4305546.270899833
12321611,-94.8,38.9,-94.78999999999999,38.89,1610,3520,POINT (344332.8921177835 4306656.077186111),344332.8921177835,4306656.077186111
12321610,-94.8,38.91,-94.78999999999999,38.9,1609,3520,POINT (344354.73283735703 4307765.885191835),344354.73283735703,4307765.885191835
12321609,-94.8,38.92,-94.78999999999999,38.910000000000004,1608,3520,POINT (344376.5783145861 4308875.694917135),344376.5783145861,4308875.694917135
12321608,-94.8,38.93,-94.78999999999999,38.92,1607,3520,POINT (344398.4285488225 4309985.506362149),344398.4285488225,4309985.506362149
12321607,-94.8,38.94,-94.78999999999999,38.93,1606,3520,POINT (344420.2835394179 4311095.3195270095),344420.2835394179,4311095.3195270095
12321606,-94.8,38.95,-94.78999999999999,38.940000000000005,1605,3520,POINT (344442.14328572387 4312205.134411851),344442.14328572387,4312205.134411851
12321605,-94.8,38.96,-94.78999999999999,38.95,1604,3520,POINT (344464.0077870919 4313314.95101681),344464.0077870919,4313314.95101681
12321604,-94.8,38.97,-94.78999999999999,38.96,1603,3520,POINT (344485.87704287295 4314424.769342017),344485.87704287295,4314424.769342017
12321603,-94.8,38.980000000000004,-94.78999999999999,38.970000000000006,1602,3520,POINT (344507.7510524184 4315534.58938761),344507.7510524184,4315534.58938761
