,gamma_vario
0,9.141613385041554
1,2.144576177285319
2,51.35259142382271
3,45.59940839889197
4,0.34599162326869803
5,8.252329130193907
6,1.118039047091413
7,16.25874685872576
8,1.9186808199445988
9,2.9537962548476457
10,46.7002908365651
11,48.02706863157897
12,33.918616819944596
13,66.61053606648197
14,18.47480890858726
15,17.49688217174515
16,6.968442858725763
17,6.2421463933518
18,63.17635474792244
19,68.75797167867039
20,36.286228919667586
21,38.084813473684214
22,38.084813473684214
23,15.226490858725754
24,92.09096048753463
25,90.04932396675902
26,28.482831069252075
27,26.838656
28,21.437183468144045
29,37.018244254847644
30,19.630020609418285
31,4.9696978614958445
32,33.195179789473684
33,18.165989939058168
34,17.831436055401657
35,4.915368598337952
36,11.434880177285315
37,2.138857307479224
38,2.3676120997229915
39,0.8950031246537393
40,1.3782476232686982
41,63.77683607756232
42,66.92507390581721
43,47.93270727977841
44,1.4039825373961217
45,2.9452179501385034
46,24.95482454293628
47,3.088189695290858
48,150.02311162326865
49,73.03282685872577
50,101.59858154016615
51,80.19285185595568
52,113.14497967867037
53,80.19285185595568
54,6.605294626038783
55,5.933327423822716
56,7.0399287313019405
57,24.931412919667586
58,15.475261695290863
59,65.74984616066483
60,18.123098415512466
61,32.56038524099724
62,30.184194836565105
63,8.555429229916895
64,4.068975867036012
65,1.0322559999999996
66,59.57632620498617
67,55.6503220831025
68,41.77920336842105
69,82.0286090637119
70,56.576778991689764
71,9.905082504155125
72,28.894589695290865
73,27.69934590581718
74,18.63779669806094
75,9.141613385041554
76,15.935630714681439
77,14.414411346260385
78,9.141613385041554
79,4.077554171745154
80,4.0318032132964
81,27.625000598337948
82,26.669949340720226
83,26.72999747368421
84,14.048403678670363
85,15.8298316232687
86,14.849045451523544
87,16.318794991689753
88,18.963772277008307
89,13.982636675900276
90,20.919625750692518
91,13.693833750692521
92,82.31169311911358
93,88.5681366869806
94,51.615659434903044
95,45.871054714681435
96,49.8399503601108
97,53.96611492520774
98,53.96611492520774
99,9.213099257617731
100,26.286785063711914
101,20.27625289750693
102,114.30019137950141
103,110.51715900277007
104,6.130628432132966
105,4.958260121883657
106,152.62233795013856
107,116.85652618282543
108,39.35154313573406
109,43.211780254847646
110,48.58179900277009
111,32.16292378947369
112,42.39398187257617
113,40.16648208310249
114,33.09795900277009
115,51.63853491412741
116,31.4166112797784
117,31.1621215734072
118,31.676819855955685
119,98.44748427700833
120,67.09664000000001
121,83.40971612188365
122,10.008022160664824
123,47.88123745152353
124,34.44475284210526
125,26.62419838227147
126,17.279565119113574
127,19.915964099722988
128,24.659766603878122
129,11.637900055401667
130,25.420376288088647
131,26.326817152354568
132,7.563205318559561
133,9.141613385041554
134,107.44040704709141
135,45.91966510803325
136,52.98818818836564
137,34.742134072022154
138,21.262757939058172
139,16.493220520775626
140,17.940094581717457
141,22.918370747922438
142,16.127212853185604
143,16.05858641551247
144,9.267428520775624
145,3.7201248088642664
146,5.19273378393352
147,0.8349549916897508
148,0.7320153351800556
149,82.58333943490304
150,136.3121212631579
151,88.82262639335178
152,84.21321732963989
153,62.19842801108032
154,1.7957251191135741
155,3.0996274349030486
156,3.3341010969529097
157,6.490917229916899
158,23.572287767313025
159,1.7385364210526317
160,9.141613385041554
161,5.555882016620498
162,114.06285828254855
163,177.13913280886422
164,93.00312022160661
165,124.5140928531856
166,101.04671060387811
167,136.94119694182825
168,98.96504199445985
169,101.2640276565097
170,61.09754557340718
171,21.425745728531854
172,14.300033950138506
173,12.907489152354572
174,14.89765584487535
175,10.39118643767313
176,9.121597340720223
177,5.009729950138505
178,176.6015590470914
179,37.21840469806095
180,24.777003434903047
181,84.34475133518006
182,26.469788897506923
183,44.07532959556786
184,36.54071862603879
185,19.46989225484764
186,17.405380254847643
187,6.133487867036011
188,51.45267164542937
189,46.797511623268704
190,33.1351316565097
191,73.63044875346257
192,48.473140476454276
193,2.790808465373961
194,21.311368332409973
195,20.007466016620498
196,11.100326293628806
197,2.144576177285319
198,8.42389522437673
199,7.5002977506925195
200,2.144576177285319
201,4.309168398891967
202,2.164592221606648
203,20.942501229916903
204,19.830181052631577
205,19.444157340720235
206,7.491719445983379
207,9.573388055401663
208,8.695541540166206
209,9.627717318559558
210,12.132582293628806
211,8.323815002770084
212,14.305752819944596
213,6.931270204986151
214,75.82077588919665
215,82.02860906371191
216,44.89312797783932
217,38.84828259279778
218,42.77428671468142
219,46.96049941274239
220,46.96049941274239
221,2.1674516565096953
222,19.298326160664825
223,13.356420432132968
224,106.93428706925205
225,102.70232341274236
226,1.3696693185595568
227,1.4583118005540165
228,145.81116401108036
229,109.93955315235458
230,32.111453961218835
231,36.0374580831025
232,41.473243833795
233,25.14872997229918
234,35.26255122437672
235,33.43251288642659
236,25.634833905817185
237,44.68438922991689
238,24.202257019390583
239,23.844827656509693
240,24.20797588919668
241,92.86586734626039
242,60.73439734072025
243,76.57566670360112
244,2.7908084653739618
245,41.962207202216064
246,28.299827235457077
247,20.281971767313024
248,10.842977152354573
249,12.498589961218835
250,16.516095999999994
251,4.203369307479225
252,17.711339789473683
253,18.52055986703601
254,1.4869061495844875
255,2.144576177285319
256,100.51199627700828
257,38.89117411634349
258,46.58019457063712
259,28.113963966758995
260,14.088435767313019
261,9.447572919667593
262,11.237579168975074
263,16.255887423822717
264,9.41325970083103
265,9.447572919667593
266,2.22178091966759
267,1.275307966759003
268,0.8177983822714684
269,2.950936819944598
270,3.8287833351800553
271,75.1545275567867
272,128.53731776177284
273,81.05926063157897
274,76.85303188919669
275,54.34070089750692
276,1.2266975734072025
277,0.7920634681440442
278,0.8864248199445983
279,1.5355165429362885
280,14.987549329639885
281,6.35080491966759
282,2.144576177285319
283,0.534714326869806
284,107.0972748587258
285,170.02199933518008
286,85.79734426592796
287,117.36550559556785
288,93.69510346814401
289,129.36083501385042
290,91.87364343490303
291,93.96674978393348
292,53.67159313019389
293,14.360082083102494
294,7.488860011080334
295,5.916170814404431
296,7.923494116343492
297,4.480734493074793
298,3.259755789473684
299,2.164592221606648
300,169.72747754016623
301,29.517946504155127
302,17.19950094182826
303,77.05319233240998
304,18.300383379501387
305,36.3176827036011
306,28.199747013850423
307,12.94752124099723
308,10.394045872576177
309,57.62047273130196
310,52.06459071468144
311,39.497374315789465
312,79.58379222160663
313,12.838862714681438
314,29.5465408531856
315,28.29696780055402
316,16.804898925207752
317,15.884160886426589
318,84.53919290858725
319,91.06728279224373
320,53.78882996121883
321,56.519590293628795
322,56.519590293628795
323,28.731601905817183
324,23.047045318559558
325,115.4954351689751
326,109.70222005540164
327,44.34983534626038
328,41.63337218836565
329,34.07588573961219
330,52.29048607202214
331,33.046489174515244
332,69.86743242105264
333,12.72448531855956
334,50.00007871468142
335,24.17080323545706
336,26.163829362880886
337,9.73637584487535
338,48.58179900277009
339,23.979221096952905
340,19.20968367867036
341,12.038220941828254
342,5.078356387811634
343,7.202916520775624
344,1.5412354127423822
345,1.546954282548476
346,83.50693690858726
347,83.1809613296399
348,61.274830537396106
349,2.6106640664819944
350,5.816090592797785
351,6.104893518005541
352,8.120795124653737
353,30.064634714681432
354,7.511735490304711
355,178.38870586149577
356,94.30702253739607
357,125.81799516897507
358,102.78524702493075
359,137.3215017839335
360,102.78524702493075
361,16.310216686980613
362,15.134988941828253
363,17.125155634349035
364,37.81602659279779
365,25.2116375401662
366,84.67072691412741
367,26.035154792243763
368,43.15173212188365
369,34.47620662603878
370,19.741538570637115
371,10.788647889196683
372,7.800538415512468
373,2.410503623268696
374,0.49182280332409983
375,40.506754836565094
376,8.549710360110799
377,9.09300299168975
378,16.401718603878116
379,51.35259142382271
380,20.710887002770086
381,21.41716742382271
382,51.35259142382271
383,38.568057972299165
384,39.62318945152354
385,13.465078958448753
386,12.824565540166203
387,12.038220941828252
388,25.93221513573407
389,26.67852764542936
390,24.45960616066482
391,20.539320908587257
392,19.607145130193906
393,26.189564277008305
394,18.085925761772852
395,23.27294067590028
396,29.575135202216064
397,31.745446293628813
398,17.379645340720216
399,17.722777529085874
400,19.76727348476454
401,21.926146836565103
402,21.926146836565103
403,50.000078714681436
404,19.964574493074792
405,25.280263977839336
406,33.704159202216076
407,18.16027106925208
408,44.901706282548474
409,45.336340387811624
410,61.735199556786725
411,41.50183818282547
412,12.289851213296398
413,11.29190843213296
414,12.99899106925208
415,16.11291567867036
416,14.788997318559558
417,12.63584283656509
418,8.818497240997226
419,8.358128221606648
420,12.887473108033237
421,9.95941176731302
422,9.093002991689747
423,38.45939944598337
424,27.196085362880886
425,30.97911773961219
426,42.22813464819945
427,19.970293362880888
428,21.54584199445983
429,22.43226681440443
430,25.228794149584495
431,16.298778947368415
432,13.58517522437673
433,41.03289085872577
434,9.510480487534624
435,9.090143556786705
436,46.68313422714682
437,51.35259142382271
438,34.28176505263157
439,22.183495977839332
440,21.980476099723
441,20.038919800554016
442,23.353004853185592
443,28.32270271468144
444,25.28026397783934
445,21.051159756232686
446,26.858672044321327
447,26.747154083102483
448,51.57562734626038
449,47.52952695844876
450,45.25627621052632
451,54.592331168975065
452,56.65684316897505
453,17.6512916565097
454,30.23852409972299
455,11.03169985595568
456,6.702515412742385
457,1.4382957562326868
458,51.63281604432134
459,52.502084254847645
460,53.12544106371191
461,40.81557380609417
462,73.6853141606648
463,54.74102178393353
464,51.35259142382271
465,45.77097449307479
466,36.08892791135736
467,67.5770250637119
468,24.09359849307478
469,38.64812214958447
470,30.201351445983367
471,38.95408168421051
472,26.621338947368418
473,30.201351445983367
474,9.959411767313016
475,21.83178548476454
476,26.36684924099723
477,29.409287977839337
478,26.312519977839333
479,32.06570300277008
480,34.882246382271475
481,37.45001892520775
482,72.69255410526316
483,6.785439024930747
484,10.342576044321328
485,14.13990559556786
486,9.579106925207753
487,1.4783278448753456
488,12.930364631578948
489,21.1798343268698
490,25.200199800554014
491,1.6470345041551266
492,19.941699013850414
493,14.608852919667601
494,41.12725221052632
495,19.28974785595568
496,18.909443013850414
497,20.04177923545707
498,45.59940839889197
499,19.24685633240998
500,21.963319490304716
501,45.59940839889197
502,42.47976491966761
503,34.42187736288089
504,29.357818149584492
505,27.2389768864266
506,25.008617662049865
507,33.09795900277008
508,37.64446049861497
509,33.42679401662052
510,27.865193130193905
511,30.201351445983384
512,35.68860702493075
513,30.52732702493076
514,26.395443590027707
515,72.84696359002771
516,76.85303188919671
517,47.69537418282551
518,45.8681952797784
519,50.28030333518006
520,54.81822652631581
521,54.81822652631581
522,43.69216531855956
523,37.71880580609418
524,39.5831573628809
525,82.04004680332413
526,55.82188817728532
527,37.22984243767312
528,44.05245411634351
529,123.63052746814411
530,93.72083838227145
531,34.567708542936295
532,34.85079259833796
533,39.849084808864276
534,36.41776292520777
535,40.00063485872575
536,35.802984421052635
537,24.31663441551248
538,33.32385436011082
539,30.604531767313034
540,25.111557318559566
541,23.67898043213297
542,87.73604113019393
543,66.0815406094183
544,74.82855197783934
545,41.91359680886427
546,50.47188547368422
547,45.87105471468145
548,42.20811860387814
549,37.152637695290856
550,12.961818415512472
551,8.930015202216069
552,30.28713449307479
553,12.57007583379502
554,11.583570792243776
555,40.120731124653744
556,45.59940839889197
557,82.66626304709142
558,51.97022936288091
559,54.872555789473694
560,43.80940214958448
561,38.00188986149584
562,38.96551942382272
563,37.19266978393354
564,36.958196121883645
565,36.94675838227148
566,36.846678160664815
567,45.81100658171744
568,41.79921941274238
569,42.5169375734072
570,50.7692667036011
571,53.64299878116343
572,55.02982470914129
573,75.20885681994461
574,43.429097307479246
575,33.947211168975095
576,19.735819700831033
577,48.77910001108033
578,49.2680633795014
579,50.7692667036011
580,37.878934160664826
581,70.36050622714683
582,51.03233471468144
583,45.59940839889197
584,41.55330801108034
585,85.74301500277011
586,131.44250362326872
587,66.24166896398891
588,89.91778996121884
589,76.17248638227146
590,90.16370136288087
591,70.6051666260388
592,76.17248638227146
593,38.585214581717466
594,35.93737786149585
595,33.49827988919668
596,33.804239423822715
597,33.44395062603879
598,36.091787346260396
599,37.072573518005534
600,38.116267257617736
601,138.9513796786704
602,22.812571656509704
603,16.670505484764547
604,49.28807942382273
605,10.408343047091416
606,11.045997030470918
607,2.5849291523545714
608,33.81853659833795
609,35.611402282548475
610,28.906027434903045
611,16.021413761772855
612,23.87056257063712
613,17.9858455401662
614,22.24068467590028
615,58.29815880332409
616,70.07617116897511
617,30.221367490304715
618,23.813373872576175
619,72.64108427700833
620,51.01517810526315
621,28.099666792243763
622,36.30910439889197
623,3.308366182825484
624,27.610703423822702
625,37.17265373961219
626,40.32946987257618
627,29.635183335180052
628,24.087879623268694
629,24.805597783933514
630,23.427350160664822
631,23.407334116343492
632,23.244346326869806
633,29.20054922991689
634,29.04328031024931
635,37.18123204432133
636,40.012072598337944
637,14.497334958448763
638,34.936575645429365
639,35.26255122437672
640,36.52928088642659
641,25.23451301939058
642,55.694464609418276
643,38.30213052631577
644,28.428501806094186
645,63.45086049861495
646,20.60222847645429
647,21.056878626038777
648,20.60222847645429
649,22.94124622714681
650,23.953486182825483
651,25.220215844875344
652,8.09791964542936
653,40.06640186149584
654,22.295013939058173
655,40.56108409972298
656,25.426095157894746
657,33.15800713573407
658,68.79228489750695
659,66.3017170969529
660,78.91754388919666
661,74.67414249307478
662,74.8028170637119
663,61.177609750692525
664,95.8545129639889
665,75.5634267479224
666,41.55616744598338
667,46.04262080886426
668,41.55616744598338
669,49.32525207756232
670,21.37713533518005
671,39.27147895844877
672,44.40130517451522
673,45.2191035567867
674,42.271026171745156
675,51.801522703601115
676,53.694468609418294
677,5.1755771745152375
678,0.534714326869806
679,49.39959738504157
680,49.791339966759004
681,38.15915878116342
682,70.08671533518005
683,43.04021416066482
684,8.815637806094184
685,1.1437739612188367
686,15.32371164542936
687,3.3083661828254844
688,58.93867222160666
689,86.76669269806094
690,74.53403018282548
691,1.3839664930747921
692,2.627820675900278
693,6.708234282548476
694,8.658368886426592
695,61.220501274238224
696,0.8263766869806094
697,12.94752124099723
698,2.3132828365650973
699,1.2066815290858728
700,2.3132828365650973
701,0.8864248199445982
702,19.389828077562328
703,10.096664642659281
704,60.37124910803324
705,12.255537994459834
706,26.692824819944597
707,23.773341783933525
708,3.883112598337948
709,5.029745994459833
710,39.87767915789476
711,36.41776292520776
712,18.4833872132964
713,16.699099833795014
714,26.70712199445983
715,21.920427966759007
716,22.64672443213297
717,14.345784908587255
718,41.851225385041545
719,27.590687379501393
720,5.209890393351801
721,6.925551335180053
722,5.209890393351801
723,8.252329130193909
724,0.623356808864266
725,4.663738326869807
726,13.110509030470912
727,4.595111889196675
728,41.94219115789476
729,15.392338083102494
730,4.403529750692524
731,38.26495787257618
732,10.379748698060943
733,5.121247911357337
734,17.179484897506924
735,18.12309841551247
736,15.55818530747922
737,23.461663379501385
738,25.403219678670354
739,19.63859891412743
740,9.201661518005544
741,21.051159756232686
742,20.725184177285325
743,21.505809905817177
744,13.204870382271466
745,40.66956391135733
746,26.449772853185596
747,16.207277030470912
748,4.6122684986149585
749,6.164941650969528
750,4.6122684986149585
751,7.437390182825486
752,0.3517104930747921
753,3.36269544598338
754,11.483490570637116
755,4.1747749584487535
756,8.338112177285316
757,9.46472952908587
758,7.654707235457065
759,14.737527490304707
760,16.744850792243763
761,32.608995634349036
762,18.17170880886427
763,11.96387563434903
764,13.053320332409973
765,5.8589821163434905
766,31.53295453739612
767,8.000698858725762
768,0.8263766869806094
769,8.223734781163435
770,9.936536288088647
771,0.34599162326869803
772,8.252329130193907
773,1.118039047091413
774,16.25874685872576
775,5.355721573407201
776,14.463021739612193
777,3.931722991689751
778,2.602085761772853
779,69.50142475346263
780,36.906726293628815
781,3.834502204986149
782,5.029745994459833
783,12.996131634349032
784,40.415252919667616
785,23.962064487534622
786,3.2797718337950137
787,59.78220551800555
788,1.4983438891966763
789,1.7642713351800552
790,9.33605495844875
791,2.439097972299169
792,43.157450991689736
793,2.905185861495845
794,11.943859590027703
795,10.442656265927983
796,3.0367198670360107
797,0.34599162326869803
798,8.252329130193907
799,1.118039047091413
800,16.25874685872576
801,4.323465573407202
802,53.5257619501385
803,31.124948919667602
804,31.124948919667602
805,79.71818566204988
806,41.89072132963988
807,5.947624598337951
808,15.22935029362881
809,6.708234282548478
810,25.157308277008312
811,8.706979279778393
812,6.376539833795015
813,4.0318032132964
814,53.45999494736843
815,56.29655437119114
816,39.197133650969526
817,3.848799379501385
818,4.197650437673131
819,133.98740068698055
820,68.81230094182823
821,98.98219860387808
822,68.86663020498611
823,5.164139434903048
824,5.398613096952911
825,5.870419855955681
826,19.069571368421048
827,11.909546371191134
828,55.244282326869794
829,14.454443434903043
830,26.04373309695291
831,26.56129081440443
832,6.914113595567867
833,97.02634513019392
834,56.07923731855957
835,4.446421274238228
836,2.8708726426592803
837,4.131883434903048
838,64.2972532299169
839,43.52917752908587
840,1.755693030470914
841,85.26262993905819
842,5.610211279778393
843,7.1714627368421064
844,23.255784066481993
845,12.195489861495844
846,66.8964795567867
847,12.169754947368423
848,27.033097573407208
849,19.304045030470917
850,9.576247490304707
851,34.96516999445984
852,13.119087335180058
853,13.545143135734074
854,19.304045030470917
855,25.42609515789474
856,19.767273484764544
857,11.086029119113574
858,14.500194393351801
859,27.93953843767312
860,6.370820963988922
861,4.294871224376732
862,1.3153400554016619
863,2.4905678005540173
864,18.35757207756232
865,6.250724698060944
866,6.676780498614961
867,19.930261274238234
868,3.0624547811634364
869,24.711236432132974
870,6.4823389252077535
871,36.95819612188368
872,14.663182182825494
873,12.678734360110802
874,9.290303999999997
875,18.057331412742382
876,18.552013650969524
877,15.32371164542936
878,22.781117872576175
879,24.36524480886426
880,20.296268941828266
881,11.04027816066482
882,20.07895188919668
883,20.607947346260385
884,13.433625174515237
885,40.04692196121884
886,16.398859168975072
887,29.85821925761773
888,5.6988537617728525
889,3.79447011634349
890,1.2667296620498614
891,1.7699902049861491
892,19.464173385041548
893,5.0983724321329635
894,6.110612387811635
895,18.040174803324096
896,2.733619767313021
897,17.179484897506928
898,24.52823259833795
899,12.901770282548478
900,1.252432487534627
901,61.580790072022204
902,28.44565841551248
903,2.896607556786704
904,6.047704819944599
905,12.45569843767313
906,40.4695821828255
907,25.772086781163445
908,3.577153063711911
909,51.83297648753463
910,0.43463410526315793
911,0.17728496398891966
912,8.658368886426592
913,3.8516588144044337
914,39.38013748476455
915,6.696796542936287
916,15.129270072022162
917,19.141057240997227
918,0.546152066481994
919,37.80744828808866
920,14.26572073130194
921,55.39297294182825
922,23.544586991689762
923,4.523626016620498
924,11.746558581717446
925,8.869967069252073
926,9.253131346260385
927,6.413712487534625
928,12.467136177285314
929,13.708130925207753
930,38.53374475346261
931,25.30885832686981
932,9.847893806094184
933,10.565611966758999
934,5.561600886426591
935,29.584249650969536
936,7.400217529085871
937,46.142701030470896
938,1.2409947479224368
939,0.5375737617728528
940,8.017855468144045
941,4.686613806094183
942,35.714341939058166
943,8.578304709141273
944,16.02999206648199
945,23.473101119113576
946,0.18872270360110802
947,0.1343934404432133
948,57.11435275346263
949,47.85550253739611
950,25.388922504155126
951,3.997489994459833
952,9.184504908587257
953,7.583221362880885
954,12.032502072022169
955,6.204973739612189
956,0.9722078670360106
957,0.4117586260387811
958,0.4060397562326871
959,0.2859434903047092
960,5.553022581717452
961,13.267777950138504
962,37.481472709141286
963,23.744747434903044
