file,rows_total,time_parsed_ok,value_parsed_ok,rows_kept_after_dropna,bins_written
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/.ipynb_checkpoints/1720-checkpoint.csv,28320,28320,28320,28320,18166
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/.ipynb_checkpoints/2320-checkpoint.csv,10966,10966,10966,10966,10156
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/1010.csv,17788,17788,17788,17788,15793
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16005.csv,21687,21687,21687,21687,18519
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16006.csv,22959,22959,22959,22959,19564
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16007.csv,31303,31303,31303,31303,19389
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16008.csv,22985,22985,22985,22985,19484
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16010.csv,47291,47291,47291,47291,27900
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16011.csv,20738,20738,20738,20738,17684
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16013.csv,23110,23110,23110,23110,19587
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16014.csv,18564,18564,18564,18564,15456
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16015.csv,22834,22834,22834,22834,19076
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16016.csv,22613,22613,22613,22613,18968
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16017.csv,21785,21785,21785,21785,18175
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16018.csv,24589,24589,24589,24589,19442
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16019.csv,19993,19993,19993,19993,17159
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16020.csv,19916,19916,19916,19916,16950
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16021.csv,32684,32684,32684,32684,22265
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16022.csv,32347,32347,32347,32347,21877
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16023.csv,20899,20899,20899,20899,17494
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16024.csv,19446,19446,19446,19446,16421
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16025.csv,20812,20812,20812,20812,16642
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16026.csv,27726,27726,27726,27726,17921
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16027.csv,18907,18907,18907,18907,16442
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16028.csv,23296,23296,23296,23296,19367
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16029.csv,21725,21725,21725,21725,18348
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16030.csv,26156,26156,26156,26156,19774
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16031.csv,22391,22391,22391,22391,17116
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16032.csv,19812,19812,19812,19812,16869
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16033.csv,25315,25315,25315,25315,16308
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16034.csv,28337,28337,28337,28337,17562
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16035.csv,23384,23384,23384,23384,19507
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16036.csv,26462,26462,26462,26462,17287
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16037.csv,22188,22188,22188,22188,18674
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16038.csv,51975,51975,51975,51975,21709
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16039.csv,22443,22443,22443,22443,18992
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16040.csv,39659,39659,39659,39659,29673
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16042.csv,23804,23804,23804,23804,19364
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16043.csv,30288,30288,30288,30288,19679
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16044.csv,24571,24571,24571,24571,20685
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16045.csv,23551,23551,23551,23551,19361
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16046.csv,19594,19594,19594,19594,16297
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16047.csv,20399,20399,20399,20399,17175
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16048.csv,23789,23789,23789,23789,19628
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16049.csv,46974,46974,46974,46974,36252
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16050.csv,16067,16067,16067,16067,13789
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16051.csv,18786,18786,18786,18786,16043
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16052.csv,19946,19946,19946,19946,16827
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16053.csv,17854,17854,17854,17854,15359
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16054.csv,20039,20039,20039,20039,16992
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16055.csv,20827,20827,20827,20827,16346
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16057.csv,36557,36557,36557,36557,29009
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16058.csv,24417,24417,24417,24417,18897
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16059.csv,21197,21197,21197,21197,17969
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16060.csv,16526,16526,16526,16526,13578
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16061.csv,22014,22014,22014,22014,18820
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16062.csv,23621,23621,23621,23621,19741
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16063.csv,22586,22586,22586,22586,18996
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16064.csv,24934,24934,24934,24934,20588
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16065.csv,22163,22163,22163,22163,18785
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16066.csv,23274,23274,23274,23274,19599
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16067.csv,23577,23577,23577,23577,19503
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16068.csv,22342,22342,22342,22342,18764
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16069.csv,22735,22735,22735,22735,18849
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16070.csv,22013,22013,22013,22013,18557
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16071.csv,23160,23160,23160,23160,19582
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16072.csv,30727,30727,30727,30727,26942
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16073.csv,24556,24556,24556,24556,20315
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16074.csv,22369,22369,22369,22369,18911
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16075.csv,28457,28457,28457,28457,19793
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16076.csv,23240,23240,23240,23240,19437
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16077.csv,25414,25414,25414,25414,19367
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16078.csv,22363,22363,22363,22363,19107
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16079.csv,21492,21492,21492,21492,18365
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16080.csv,21457,21457,21457,21457,18491
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16081.csv,21660,21660,21660,21660,18387
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16082.csv,23768,23768,23768,23768,19961
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16083.csv,22475,22475,22475,22475,18729
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16084.csv,24452,24452,24452,24452,22020
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16085.csv,23079,23079,23079,23079,19553
/mnt/12TB/Sujan/Spatial_correlation/Raw_rain_measurement/OneDrive_1_1-26-2026/stormwatch_compiled_rawstyle_mm/16086.csv,22878,22878,22878,22878,18889
